"Date","Site ID","POC","Daily Max 8-hour O3 Concentration","DAILY_AQI_VALUE","DAILY_OBS_COUNT","AQS_PARAMETER_CODE"
09/12/19,371830014,1,0.062,74,17,44201
09/13/19,371830014,1,0.043,40,17,44201
09/14/19,371830014,1,0.035,32,17,44201
09/15/19,371830014,1,0.034,31,17,44201
09/16/19,371830014,1,0.044,41,17,44201
09/17/19,371830014,1,0.044,41,17,44201
09/18/19,371830014,1,0.045,42,17,44201
09/19/19,371830014,1,0.039,36,17,44201
09/20/19,371830014,1,0.048,44,17,44201
09/21/19,371830014,1,0.052,48,17,44201
09/22/19,371830014,1,0.049,45,17,44201
09/23/19,371830014,1,0.053,49,17,44201
09/24/19,371830014,1,0.052,48,17,44201
09/25/19,371830014,1,0.052,48,17,44201
09/26/19,371830014,1,0.058,61,17,44201
09/27/19,371830014,1,0.05,46,17,44201
09/28/19,371830014,1,0.044,41,17,44201
09/29/19,371830014,1,0.051,47,17,44201
09/30/19,371830014,1,0.048,44,24,44201
10/01/19,371830014,1,0.051,47,24,44201
10/02/19,371830014,1,0.065,84,24,44201
10/03/19,371830014,1,0.067,90,24,44201
10/04/19,371830014,1,0.051,47,24,44201
10/05/19,371830014,1,0.032,30,24,44201
10/06/19,371830014,1,0.037,34,24,44201
10/07/19,371830014,1,0.039,36,24,44201
10/08/19,371830014,1,0.031,29,22,44201
10/09/19,371830014,1,0.031,29,19,44201
10/10/19,371830014,1,0.039,36,24,44201
10/11/19,371830014,1,0.045,42,24,44201
10/12/19,371830014,1,0.049,45,24,44201
10/13/19,371830014,1,0.029,27,24,44201
10/14/19,371830014,1,0.044,41,24,44201
10/15/19,371830014,1,0.048,44,24,44201
10/16/19,371830014,1,0.034,31,24,44201
10/17/19,371830014,1,0.037,34,24,44201
10/18/19,371830014,1,0.039,36,24,44201
10/19/19,371830014,1,0.038,35,24,44201
10/20/19,371830014,1,0.034,31,24,44201
10/21/19,371830014,1,0.034,31,24,44201
10/22/19,371830014,1,0.023,21,24,44201
10/23/19,371830014,1,0.039,36,24,44201
10/24/19,371830014,1,0.042,39,24,44201
10/25/19,371830014,1,0.04,37,24,44201
10/26/19,371830014,1,0.041,38,24,44201
10/27/19,371830014,1,0.024,22,24,44201
10/28/19,371830014,1,0.04,37,24,44201
10/29/19,371830014,1,0.029,27,24,44201
10/30/19,371830014,1,0.021,19,24,44201
10/31/19,371830014,1,0.026,24,20,44201
11/01/19,371830014,1,0.03,28,23,44201
11/02/19,371830014,1,0.036,33,24,44201
11/03/19,371830014,1,0.036,33,24,44201
11/04/19,371830014,1,0.033,31,24,44201
11/05/19,371830014,1,0.036,33,24,44201
11/06/19,371830014,1,0.037,34,24,44201
11/07/19,371830014,1,0.038,35,24,44201
11/08/19,371830014,1,0.034,31,24,44201
11/09/19,371830014,1,0.034,31,24,44201
11/10/19,371830014,1,0.038,35,24,44201
