Region Oil Gas
Central 982 11547369
Central 91598 543294
Central 57752 49519
Central 5537163 13599548
Western 228 1270019
Central 1426141 10976850
Central 1537575 10628236
Central 458219 35319005
Central 1849840 10474421
Central 7034 2818
Central 2027432 11557902
Central 13749911 48565351
Central 1719463 9713246
Western 76630 15870995
Central 432948 33157995
Western 28871 11362302
Central 307251 9077414
Central 2164781 25087451
Central 2135250 21270897
Central 1205399 12910390
Central 2618865 31056725
Central 713735 34570832
Central 3296985 14032303
Western 4607875 17147910
Central 1479227 12119667
Western 4 27582
Western 825883 937818
Central 1666163 3389384
Central 1072633 6830023
Central 1905771 3600987
Central 17634 16075
Central 1984752 26197937
Western 0 749040
Central 510966 19802185
Western 51347 1426475
Central 1037803 9606667
Central 955038 7229386
Central 13809 361780
Western 160696 6767135
Central 1303574 28148932
Central 179047 2134854
Central 69797 788685
Central 233839 16413968
Central 18633 382379
Central 2119844 30530044
Western 2110904 19979720
Central 1118356 11211911
Central 20229 287592
Central 1664693 20453641
Central 7535960 31727335
Central 53964 256197
Western 6244 3626149
Central 2253619 3401700
Central 1411720 12699905
Western 377658 7307284
Central 50605 674152
Central 3217197 24547990
Central 1989902 15231507
Central 1608454 12966201
Western 19172 5392078
Central 1454597 28070745
Western 4785296 21468048
Western 1054425 39911854
Western 366 207669
Central 639186 41390738
Western 28657 14321278
Western 154025 1688968
Western 338468 6052023
Western 46227 8711704
Central 1422074 1935275
Western 1189381 37455682
Central 3628836 41583773
Western 254807 5610761
Central 3910892 13416601
Central 52 1142840
Central 3600602 32929332
Western 119 1053218
Central 548134 32500976
Western 2253230 20103915
Central 1162488 15975492
Central 1716209 9002261
Central 2977033 35703105
Western 509 1752756
Central 1120 8136236
Central 15 361908
Central 1389522 6450537
Central 3523264 5540643
Central 2062168 14382329
Central 6321116 16150895
Western 0 484309
Central 1154857 7051539
Central 237269 2543536
Central 427517 16315068
Western 2296832 25357080
Central 67 1160380
Central 783264 1569383
Western 1134724 35228992
Central 2864658 15185906
